,Episodes,Avg_rewards,alpha,gamma,epsilon
417,4171,53.2,0.6,0.99,0.1
418,4181,59.4,0.6,0.99,0.1
419,4191,66.7,0.6,0.99,0.1
420,4201,76.8,0.6,0.99,0.1
421,4211,56.9,0.6,0.99,0.1
422,4221,79.2,0.6,0.99,0.1
423,4231,47.2,0.6,0.99,0.1
424,4241,136.1,0.6,0.99,0.1
425,4251,85.3,0.6,0.99,0.1
426,4261,68.4,0.6,0.99,0.1
427,4271,104.5,0.6,0.99,0.1
428,4281,80.3,0.6,0.99,0.1
429,4291,84.5,0.6,0.99,0.1
430,4301,46.2,0.6,0.99,0.1
431,4311,64.5,0.6,0.99,0.1
432,4321,71.1,0.6,0.99,0.1
433,4331,48.7,0.6,0.99,0.1
434,4341,71.0,0.6,0.99,0.1
435,4351,91.0,0.6,0.99,0.1
436,4361,59.6,0.6,0.99,0.1
437,4371,58.4,0.6,0.99,0.1
438,4381,81.0,0.6,0.99,0.1
439,4391,112.1,0.6,0.99,0.1
440,4401,107.6,0.6,0.99,0.1
441,4411,218.0,0.6,0.99,0.1
442,4421,93.3,0.6,0.99,0.1
443,4431,71.1,0.6,0.99,0.1
444,4441,98.2,0.6,0.99,0.1
445,4451,120.6,0.6,0.99,0.1
446,4461,71.8,0.6,0.99,0.1
447,4471,87.5,0.6,0.99,0.1
448,4481,110.4,0.6,0.99,0.1
449,4491,100.3,0.6,0.99,0.1
450,4501,181.0,0.6,0.99,0.1
451,4511,64.8,0.6,0.99,0.1
452,4521,94.1,0.6,0.99,0.1
453,4531,60.1,0.6,0.99,0.1
454,4541,144.8,0.6,0.99,0.1
455,4551,82.0,0.6,0.99,0.1
456,4561,99.2,0.6,0.99,0.1
457,4571,134.2,0.6,0.99,0.1
458,4581,67.9,0.6,0.99,0.1
459,4591,68.8,0.6,0.99,0.1
460,4601,92.6,0.6,0.99,0.1
461,4611,126.8,0.6,0.99,0.1
462,4621,68.4,0.6,0.99,0.1
463,4631,63.3,0.6,0.99,0.1
464,4641,115.6,0.6,0.99,0.1
465,4651,132.5,0.6,0.99,0.1
466,4661,190.3,0.6,0.99,0.1
467,4671,136.9,0.6,0.99,0.1
468,4681,103.2,0.6,0.99,0.1
469,4691,62.8,0.6,0.99,0.1
470,4701,87.5,0.6,0.99,0.1
471,4711,79.6,0.6,0.99,0.1
472,4721,134.3,0.6,0.99,0.1
473,4731,167.1,0.6,0.99,0.1
474,4741,175.6,0.6,0.99,0.1
475,4751,122.2,0.6,0.99,0.1
476,4761,77.8,0.6,0.99,0.1
477,4771,120.0,0.6,0.99,0.1
478,4781,101.1,0.6,0.99,0.1
479,4791,77.7,0.6,0.99,0.1
480,4801,144.8,0.6,0.99,0.1
481,4811,165.5,0.6,0.99,0.1
482,4821,170.7,0.6,0.99,0.1
483,4831,114.1,0.6,0.99,0.1
484,4841,156.8,0.6,0.99,0.1
485,4851,137.6,0.6,0.99,0.1
486,4861,92.6,0.6,0.99,0.1
487,4871,73.7,0.6,0.99,0.1
488,4881,76.3,0.6,0.99,0.1
489,4891,111.9,0.6,0.99,0.1
490,4901,186.3,0.6,0.99,0.1
491,4911,117.4,0.6,0.99,0.1
492,4921,79.8,0.6,0.99,0.1
493,4931,164.4,0.6,0.99,0.1
494,4941,82.3,0.6,0.99,0.1
495,4951,169.1,0.6,0.99,0.1
496,4961,123.0,0.6,0.99,0.1
497,4971,177.3,0.6,0.99,0.1
498,4981,117.6,0.6,0.99,0.1
499,4991,104.2,0.6,0.99,0.1
500,5001,52.1,0.6,0.99,0.1
501,5011,101.5,0.6,0.99,0.1
502,5021,88.0,0.6,0.99,0.1
503,5031,90.3,0.6,0.99,0.1
504,5041,117.4,0.6,0.99,0.1
505,5051,148.3,0.6,0.99,0.1
506,5061,131.0,0.6,0.99,0.1
507,5071,151.2,0.6,0.99,0.1
508,5081,163.0,0.6,0.99,0.1
509,5091,111.5,0.6,0.99,0.1
510,5101,114.7,0.6,0.99,0.1
511,5111,56.2,0.6,0.99,0.1
512,5121,105.4,0.6,0.99,0.1
513,5131,86.8,0.6,0.99,0.1
514,5141,67.9,0.6,0.99,0.1
515,5151,77.5,0.6,0.99,0.1
516,5161,74.6,0.6,0.99,0.1
517,5171,78.9,0.6,0.99,0.1
518,5181,104.3,0.6,0.99,0.1
519,5191,71.6,0.6,0.99,0.1
520,5201,88.9,0.6,0.99,0.1
521,5211,94.6,0.6,0.99,0.1
522,5221,122.6,0.6,0.99,0.1
523,5231,80.4,0.6,0.99,0.1
524,5241,184.4,0.6,0.99,0.1
525,5251,119.7,0.6,0.99,0.1
526,5261,73.6,0.6,0.99,0.1
527,5271,87.2,0.6,0.99,0.1
528,5281,123.8,0.6,0.99,0.1
