,Episodes,Avg_rewards,alpha,gamma,epsilon
286,2861,204.6,0.6,0.99,0.1
287,2871,137.8,0.6,0.99,0.1
288,2881,94.7,0.6,0.99,0.1
289,2891,170.9,0.6,0.99,0.1
290,2901,103.8,0.6,0.99,0.1
291,2911,182.1,0.6,0.99,0.1
292,2921,97.7,0.6,0.99,0.1
293,2931,192.7,0.6,0.99,0.1
294,2941,162.7,0.6,0.99,0.1
295,2951,117.2,0.6,0.99,0.1
296,2961,189.2,0.6,0.99,0.1
297,2971,174.0,0.6,0.99,0.1
298,2981,271.1,0.6,0.99,0.1
299,2991,110.0,0.6,0.99,0.1
300,3001,88.4,0.6,0.99,0.1
301,3011,122.7,0.6,0.99,0.1
302,3021,216.1,0.6,0.99,0.1
303,3031,212.7,0.6,0.99,0.1
304,3041,117.5,0.6,0.99,0.1
305,3051,149.6,0.6,0.99,0.1
306,3061,192.8,0.6,0.99,0.1
307,3071,176.5,0.6,0.99,0.1
308,3081,132.1,0.6,0.99,0.1
309,3091,177.8,0.6,0.99,0.1
310,3101,171.1,0.6,0.99,0.1
311,3111,116.3,0.6,0.99,0.1
312,3121,186.8,0.6,0.99,0.1
313,3131,109.3,0.6,0.99,0.1
314,3141,119.8,0.6,0.99,0.1
315,3151,132.1,0.6,0.99,0.1
316,3161,151.6,0.6,0.99,0.1
317,3171,117.1,0.6,0.99,0.1
318,3181,144.5,0.6,0.99,0.1
319,3191,169.7,0.6,0.99,0.1
320,3201,242.5,0.6,0.99,0.1
321,3211,190.5,0.6,0.99,0.1
322,3221,191.8,0.6,0.99,0.1
323,3231,152.2,0.6,0.99,0.1
324,3241,200.4,0.6,0.99,0.1
325,3251,254.8,0.6,0.99,0.1
326,3261,214.6,0.6,0.99,0.1
327,3271,110.9,0.6,0.99,0.1
328,3281,187.7,0.6,0.99,0.1
329,3291,136.1,0.6,0.99,0.1
330,3301,135.4,0.6,0.99,0.1
331,3311,146.0,0.6,0.99,0.1
332,3321,145.4,0.6,0.99,0.1
333,3331,219.6,0.6,0.99,0.1
334,3341,258.7,0.6,0.99,0.1
335,3351,207.0,0.6,0.99,0.1
336,3361,223.3,0.6,0.99,0.1
337,3371,135.2,0.6,0.99,0.1
338,3381,200.7,0.6,0.99,0.1
339,3391,195.7,0.6,0.99,0.1
340,3401,195.9,0.6,0.99,0.1
341,3411,97.2,0.6,0.99,0.1
342,3421,221.7,0.6,0.99,0.1
343,3431,140.8,0.6,0.99,0.1
344,3441,183.6,0.6,0.99,0.1
345,3451,170.1,0.6,0.99,0.1
346,3461,261.4,0.6,0.99,0.1
347,3471,331.6,0.6,0.99,0.1
348,3481,232.7,0.6,0.99,0.1
349,3491,323.6,0.6,0.99,0.1
350,3501,237.5,0.6,0.99,0.1
351,3511,130.2,0.6,0.99,0.1
352,3521,110.0,0.6,0.99,0.1
353,3531,111.0,0.6,0.99,0.1
354,3541,148.9,0.6,0.99,0.1
355,3551,253.5,0.6,0.99,0.1
356,3561,230.9,0.6,0.99,0.1
357,3571,169.5,0.6,0.99,0.1
358,3581,153.1,0.6,0.99,0.1
359,3591,159.9,0.6,0.99,0.1
360,3601,176.8,0.6,0.99,0.1
361,3611,170.4,0.6,0.99,0.1
362,3621,202.1,0.6,0.99,0.1
363,3631,102.1,0.6,0.99,0.1
364,3641,91.8,0.6,0.99,0.1
365,3651,316.1,0.6,0.99,0.1
366,3661,192.6,0.6,0.99,0.1
367,3671,191.7,0.6,0.99,0.1
368,3681,207.8,0.6,0.99,0.1
369,3691,238.7,0.6,0.99,0.1
370,3701,203.5,0.6,0.99,0.1
371,3711,203.0,0.6,0.99,0.1
372,3721,204.5,0.6,0.99,0.1
373,3731,165.7,0.6,0.99,0.1
374,3741,234.6,0.6,0.99,0.1
375,3751,251.1,0.6,0.99,0.1
376,3761,214.3,0.6,0.99,0.1
377,3771,205.9,0.6,0.99,0.1
378,3781,250.1,0.6,0.99,0.1
379,3791,214.2,0.6,0.99,0.1
380,3801,180.2,0.6,0.99,0.1
381,3811,164.3,0.6,0.99,0.1
382,3821,175.5,0.6,0.99,0.1
383,3831,139.2,0.6,0.99,0.1
384,3841,147.4,0.6,0.99,0.1
385,3851,219.6,0.6,0.99,0.1
386,3861,213.6,0.6,0.99,0.1
387,3871,110.5,0.6,0.99,0.1
388,3881,183.0,0.6,0.99,0.1
389,3891,262.8,0.6,0.99,0.1
390,3901,307.9,0.6,0.99,0.1
391,3911,286.5,0.6,0.99,0.1
392,3921,284.2,0.6,0.99,0.1
393,3931,223.3,0.6,0.99,0.1
394,3941,180.0,0.6,0.99,0.1
395,3951,162.7,0.6,0.99,0.1
396,3961,225.6,0.6,0.99,0.1
397,3971,390.6,0.6,0.99,0.1
398,3981,272.6,0.6,0.99,0.1
399,3991,232.9,0.6,0.99,0.1
400,4001,186.7,0.6,0.99,0.1
401,4011,186.3,0.6,0.99,0.1
402,4021,173.7,0.6,0.99,0.1
403,4031,184.1,0.6,0.99,0.1
404,4041,194.5,0.6,0.99,0.1
405,4051,130.5,0.6,0.99,0.1
406,4061,130.8,0.6,0.99,0.1
407,4071,222.7,0.6,0.99,0.1
408,4081,156.3,0.6,0.99,0.1
409,4091,224.3,0.6,0.99,0.1
410,4101,233.2,0.6,0.99,0.1
411,4111,267.0,0.6,0.99,0.1
412,4121,184.5,0.6,0.99,0.1
413,4131,186.6,0.6,0.99,0.1
